,Chain,Item,Type,Serving Size (g),Calories,Calories from fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g)
321,Mc Donalds,Minute Maid Orange Juice (Large),Beverages,0.0,280.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,58.0,4.0
322,Mc Donalds,0,Beverages,0.0,110.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,29.0,0.0
323,Mc Donalds,0,Beverages,0.0,150.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,40.0,0.0
324,Mc Donalds,0,Beverages,0.0,210.0,0.0,0.0,0.0,0.0,0.0,15.0,58.0,0.0,58.0,0.0
325,Mc Donalds,0,Beverages,0.0,310.0,0.0,0.0,0.0,0.0,0.0,20.0,86.0,0.0,86.0,0.0
326,Mc Donalds,Diet Coke (Child),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
327,Mc Donalds,Diet Coke (Small),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
328,Mc Donalds,Diet Coke (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
329,Mc Donalds,Diet Coke (Large),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
330,Mc Donalds,Sprite (Child),Beverages,0.0,110.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,28.0,0.0
331,Mc Donalds,Sprite (Small),Beverages,0.0,150.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,0.0,39.0,0.0
332,Mc Donalds,Sprite (Medium),Beverages,0.0,210.0,0.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,56.0,0.0
333,Mc Donalds,Sprite (Large),Beverages,0.0,310.0,0.0,0.0,0.0,0.0,0.0,80.0,83.0,0.0,83.0,0.0
334,Mc Donalds,0,Beverages,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0
335,Mc Donalds,0,Beverages,0.0,160.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,44.0,0.0
336,Mc Donalds,0,Beverages,0.0,240.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,64.0,0.0
337,Mc Donalds,0,Beverages,0.0,350.0,0.0,0.0,0.0,0.0,0.0,10.0,94.0,0.0,94.0,0.0
338,Mc Donalds,Powerrade Mountain Blast (Child),Beverages,0.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,20.0,0.0,16.0,0.0
339,Mc Donalds,Powerrade Mountain Blast (Small),Beverages,0.0,100.0,0.0,0.0,0.0,0.0,0.0,85.0,27.0,0.0,21.0,0.0
340,Mc Donalds,Powerrade Mountain Blast (Medium),Beverages,0.0,150.0,0.0,0.0,0.0,0.0,0.0,130.0,39.0,0.0,31.0,0.0
341,Mc Donalds,Powerrade Mountain Blast (Large),Beverages,0.0,220.0,0.0,0.0,0.0,0.0,0.0,190.0,58.0,0.0,46.0,0.0
342,Mc Donalds,Iced Tea (Child),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
343,Mc Donalds,Iced Tea (Small),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
344,Mc Donalds,Iced Tea (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
345,Mc Donalds,Iced Tea (Large),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0
346,Mc Donalds,Coffee (Small),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Mc Donalds,Coffee (Large),Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Mc Donalds,Coffee Cream,Beverages,0.0,20.0,20.0,2.0,1.5,0.0,10.0,15.0,0.0,0.0,0.0,0.0
349,Mc Donalds,Sugar Packet,Beverages,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
350,Mc Donalds,Equal 0 Cal Sweetener,Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
351,Mc Donalds,Splenda No Calorie Sweetener,Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
352,Mc Donalds,0,Beverages,0.0,130.0,50.0,5.0,3.5,0.0,20.0,80.0,21.0,0.0,20.0,1.0
353,Mc Donalds,0,Beverages,0.0,190.0,70.0,8.0,5.0,0.0,30.0,115.0,27.0,0.0,27.0,2.0
354,Mc Donalds,0,Beverages,0.0,270.0,100.0,11.0,7.0,0.0,40.0,160.0,41.0,0.0,41.0,2.0
355,Mc Donalds,0,Beverages,0.0,130.0,50.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0
356,Mc Donalds,0,Beverages,0.0,190.0,70.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,29.0,2.0
357,Mc Donalds,0,Beverages,0.0,270.0,100.0,11.0,7.0,0.0,40.0,85.0,43.0,0.0,43.0,2.0
358,Mc Donalds,0,Beverages,0.0,140.0,50.0,5.0,3.5,0.0,20.0,40.0,22.0,0.0,22.0,1.0
359,Mc Donalds,0,Beverages,0.0,200.0,70.0,8.0,5.0,0.0,30.0,60.0,30.0,0.0,30.0,2.0
360,Mc Donalds,0,Beverages,0.0,280.0,100.0,11.0,7.0,0.0,40.0,85.0,45.0,0.0,45.0,2.0
361,Mc Donalds,0,Beverages,0.0,130.0,50.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0
362,Mc Donalds,0,Beverages,0.0,190.0,70.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,28.0,2.0
363,Mc Donalds,0,Beverages,0.0,270.0,100.0,11.0,7.0,0.0,40.0,80.0,43.0,0.0,43.0,2.0
364,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Small),Beverages,0.0,60.0,50.0,5.0,3.5,0.0,20.0,70.0,8.0,0.0,1.0,1.0
365,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Medium),Beverages,0.0,90.0,70.0,8.0,5.0,0.0,30.0,100.0,11.0,0.0,2.0,2.0
366,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Large),Beverages,0.0,120.0,100.0,11.0,7.0,0.0,40.0,140.0,16.0,0.0,2.0,2.0
367,Mc Donalds,Sweet Tea (Child),Beverages,0.0,110.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,27.0,0.0
368,Mc Donalds,Sweet Tea (Large),Beverages,0.0,280.0,0.0,0.0,0.0,0.0,0.0,15.0,69.0,0.0,69.0,1.0
369,Mc Donalds,Sweet Tea (Medium),Beverages,0.0,180.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,45.0,1.0
370,Mc Donalds,Sweet Tea (Small),Beverages,0.0,150.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,36.0,1.0
371,Mc Donalds,Nonfat Cappucino (Small),0,0.0,60.0,0.0,0.0,0.0,0.0,5.0,85.0,9.0,0.0,9.0,6.0
372,Mc Donalds,Nonfat Cappucino (Medium),0,0.0,80.0,0.0,0.0,0.0,0.0,5.0,110.0,12.0,0.0,12.0,8.0
373,Mc Donalds,Nonfat Cappucino (Large),0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,130.0,13.0,0.0,13.0,9.0
374,Mc Donalds,Nonfat Latte (Small),0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,115.0,13.0,0.0,13.0,9.0
375,Mc Donalds,Nonfat Latte (Medium),0,0.0,110.0,0.0,0.0,0.0,0.0,5.0,140.0,15.0,0.0,15.0,10.0
376,Mc Donalds,Nonfat Latte (Large),0,0.0,120.0,0.0,0.0,0.0,0.0,5.0,160.0,18.0,0.0,18.0,12.0
377,Mc Donalds,Nonfat Caramel Cappucino (Small),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,120.0,33.0,0.0,32.0,5.0
378,Mc Donalds,Nonfat Caramel Cappucino (Medium),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,150.0,41.0,0.0,41.0,6.0
379,Mc Donalds,Nonfat Caramel Cappucino (Large),0,0.0,230.0,0.0,0.0,0.0,0.0,5.0,180.0,49.0,0.0,49.0,7.0
380,Mc Donalds,Nonfat Caramel Latte (Small),0,0.0,170.0,0.0,0.0,0.0,0.0,5.0,150.0,36.0,0.0,36.0,7.0
381,Mc Donalds,Nonfat Caramel Latte (Medium),0,0.0,220.0,0.0,0.0,0.0,0.0,5.0,180.0,45.0,0.0,45.0,9.0
382,Mc Donalds,Nonfat Caramel Latte (Large),0,0.0,260.0,0.0,0.0,0.0,0.0,5.0,220.0,53.0,0.0,53.0,10.0
383,Mc Donalds,Nonfat Hazelnut Cappucino (Small),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,70.0,34.0,0.0,34.0,5.0
384,Mc Donalds,Nonfat Hazelnut Cappucino (Medium),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,90.0,43.0,0.0,43.0,6.0
385,Mc Donalds,Nonfat Hazelnut Cappucino (Large),0,0.0,230.0,0.0,0.0,0.0,0.0,5.0,100.0,51.0,0.0,51.0,7.0
386,Mc Donalds,Nonfat Hazelnut Latte (Small),0,0.0,180.0,0.0,0.0,0.0,0.0,5.0,95.0,37.0,0.0,37.0,7.0
387,Mc Donalds,Nonfat Hazelnut Latte (Medium),0,0.0,220.0,0.0,0.0,0.0,0.0,5.0,115.0,46.0,0.0,46.0,9.0
388,Mc Donalds,Nonfat Hazelnut Latte (Large),0,0.0,260.0,0.0,0.0,0.0,0.0,5.0,135.0,55.0,0.0,55.0,10.0
389,Mc Donalds,Nonfat Vanilla Cappucino (Small),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,70.0,34.0,0.0,34.0,5.0
390,Mc Donalds,Nonfat Vanilla Cappucino (Medium),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,90.0,42.0,0.0,42.0,6.0
391,Mc Donalds,Nonfat Vanilla Cappucino (Large),0,0.0,230.0,0.0,0.0,0.0,0.0,5.0,100.0,51.0,0.0,51.0,7.0
392,Mc Donalds,Nonfat Vanilla Latte (Small),0,0.0,180.0,0.0,0.0,0.0,0.0,5.0,95.0,37.0,0.0,37.0,7.0
393,Mc Donalds,Nonfat Vanilla Latte (Medium),0,0.0,220.0,0.0,0.0,0.0,0.0,5.0,115.0,46.0,0.0,46.0,9.0
394,Mc Donalds,Nonfat Vanilla Latte (Large),0,0.0,260.0,0.0,0.0,0.0,0.0,5.0,135.0,55.0,0.0,55.0,10.0
395,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Small),0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,100.0,15.0,0.0,8.0,5.0
396,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Medium),0,0.0,70.0,0.0,0.0,0.0,0.0,5.0,130.0,19.0,0.0,10.0,7.0
397,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Large),0,0.0,80.0,0.0,0.0,0.0,0.0,5.0,150.0,22.0,0.0,11.0,8.0
398,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Small),0,0.0,80.0,0.0,0.0,0.0,0.0,5.0,130.0,18.0,0.0,11.0,7.0
399,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,160.0,22.0,0.0,13.0,9.0
400,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Large),0,0.0,110.0,0.0,0.0,0.0,0.0,5.0,190.0,27.0,0.0,15.0,11.0
401,Mc Donalds,Mocha with Nonfat Milk (Small),0,0.0,240.0,45.0,5.0,3.0,0.0,5.0,130.0,41.0,0.0,34.0,7.0
402,Mc Donalds,Mocha with Nonfat Milk (Medium),0,0.0,280.0,50.0,6.0,3.5,0.0,10.0,160.0,50.0,0.0,42.0,8.0
403,Mc Donalds,Mocha with Nonfat Milk (Large),0,0.0,330.0,50.0,6.0,3.5,0.0,10.0,190.0,58.0,0.0,50.0,10.0
404,Mc Donalds,Hot Chocolate with Nonfat Milk (Small),0,0.0,250.0,45.0,5.0,3.0,0.0,10.0,140.0,43.0,0.0,37.0,8.0
405,Mc Donalds,Hot Chocolate with Nonfat Milk (Medium),0,0.0,310.0,50.0,6.0,3.5,0.0,10.0,190.0,55.0,0.0,47.0,11.0
406,Mc Donalds,Hot Chocolate with Nonfat Milk (Large),0,0.0,390.0,50.0,6.0,3.5,0.0,10.0,250.0,68.0,0.0,59.0,16.0
407,Mc Donalds,Iced Nonfat Latte (Small),0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,70.0,7.0,0.0,7.0,5.0
408,Mc Donalds,Iced Nonfat Latte (Medium),0,0.0,60.0,0.0,0.0,0.0,0.0,5.0,90.0,9.0,0.0,9.0,6.0
409,Mc Donalds,Iced Nonfat Latte (Large),0,0.0,70.0,0.0,0.0,0.0,0.0,5.0,105.0,11.0,0.0,11.0,7.0
410,Mc Donalds,Iced Nonfat Caramel Latte (Small),0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,105.0,30.0,0.0,30.0,3.0
411,Mc Donalds,Iced Nonfat Caramel Latte (Medium),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,120.0,32.0,0.0,32.0,5.0
412,Mc Donalds,Iced Nonfat Caramel Latte (Large),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,150.0,40.0,0.0,40.0,6.0
413,Mc Donalds,Iced Nonfat Hazelnut Latte (Small),0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,50.0,32.0,0.0,32.0,3.0
414,Mc Donalds,Iced Nonfat Hazelnut Latte (Medium),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,70.0,33.0,0.0,33.0,5.0
415,Mc Donalds,Iced Nonfat Hazelnut Latte (Large),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,80.0,42.0,0.0,42.0,6.0
416,Mc Donalds,Iced Nonfat Vanilla Latte (Small),0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,50.0,31.0,0.0,31.0,3.0
417,Mc Donalds,Iced Nonfat Vanilla Latte (Medium),0,0.0,150.0,0.0,0.0,0.0,0.0,5.0,70.0,33.0,0.0,33.0,5.0
418,Mc Donalds,Iced Nonfat Vanilla Latte (Large),0,0.0,190.0,0.0,0.0,0.0,0.0,5.0,85.0,41.0,0.0,41.0,6.0
419,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,85.0,13.0,0.0,5.0,4.0
420,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,100.0,14.0,0.0,6.0,5.0
421,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),0,0.0,60.0,0.0,0.0,0.0,0.0,5.0,130.0,19.0,0.0,8.0,6.0
422,Mc Donalds,Iced Mocha with Nonfat Milk (Medium),0,0.0,270.0,70.0,8.0,4.5,0.0,10.0,140.0,43.0,0.0,35.0,7.0
423,Mc Donalds,Iced Nonfat Caramel Mocha (Large),0,0.0,300.0,60.0,6.0,4.0,0.0,10.0,230.0,49.0,0.0,45.0,11.0
424,Mc Donalds,Iced Nonfat Caramel Mocha (Medium),0,0.0,240.0,60.0,6.0,4.0,0.0,10.0,190.0,37.0,0.0,34.0,9.0
425,Mc Donalds,Iced Nonfat Caramel Mocha (Small),0,0.0,200.0,50.0,6.0,4.0,0.0,10.0,140.0,29.0,0.0,26.0,6.0
426,Mc Donalds,Nonfat Caramel Mocha (Large),0,0.0,280.0,35.0,4.0,2.5,0.0,10.0,260.0,49.0,0.0,46.0,12.0
427,Mc Donalds,Nonfat Caramel Mocha (Medium),0,0.0,240.0,35.0,4.0,2.5,0.0,5.0,200.0,41.0,0.0,38.0,9.0
428,Mc Donalds,Nonfat Caramel Mocha (Small),0,0.0,200.0,35.0,4.0,2.5,0.0,5.0,170.0,34.0,0.0,31.0,8.0
429,Mc Donalds,Cappucino (Small),0,0.0,120.0,60.0,7.0,4.0,0.0,20.0,85.0,9.0,0.0,9.0,6.0
430,Mc Donalds,Cappucino (Medium),0,0.0,140.0,70.0,8.0,4.5,0.0,25.0,105.0,11.0,0.0,11.0,8.0
431,Mc Donalds,Cappucino (Large),0,0.0,180.0,90.0,10.0,6.0,0.0,30.0,130.0,13.0,0.0,13.0,9.0
432,Mc Donalds,Latte (Small),0,0.0,150.0,70.0,8.0,4.5,0.0,25.0,105.0,11.0,0.0,11.0,8.0
433,Mc Donalds,Latte (Medium),0,0.0,180.0,90.0,10.0,6.0,0.0,30.0,130.0,13.0,0.0,13.0,10.0
434,Mc Donalds,Latte (Large),0,0.0,210.0,100.0,11.0,7.0,0.0,35.0,150.0,16.0,0.0,16.0,11.0
435,Mc Donalds,Caramel Cappucino (Small),0,0.0,200.0,45.0,5.0,3.0,0.0,15.0,125.0,32.0,0.0,32.0,5.0
436,Mc Donalds,Caramel Cappucino (Medium),0,0.0,240.0,50.0,6.0,3.5,0.0,20.0,150.0,41.0,0.0,40.0,6.0
437,Mc Donalds,Caramel Cappucino (Large),0,0.0,290.0,70.0,8.0,4.5,0.0,25.0,190.0,49.0,0.0,49.0,8.0
438,Mc Donalds,Caramel Latte (Small),0,0.0,230.0,60.0,7.0,4.0,0.0,20.0,140.0,35.0,0.0,35.0,7.0
439,Mc Donalds,Caramel Latte (Medium),0,0.0,280.0,70.0,8.0,4.5,0.0,25.0,170.0,43.0,0.0,43.0,8.0
440,Mc Donalds,Caramel Latte (Large),0,0.0,330.0,80.0,9.0,5.0,0.0,30.0,210.0,52.0,0.0,51.0,9.0
441,Mc Donalds,Hazelnut Cappucino (Small),0,0.0,200.0,45.0,5.0,3.0,0.0,15.0,70.0,34.0,0.0,34.0,5.0
442,Mc Donalds,Hazelnut Cappucino (Medium),0,0.0,240.0,50.0,6.0,3.5,0.0,20.0,85.0,42.0,0.0,42.0,6.0
443,Mc Donalds,Hazelnut Cappucino (Large),0,0.0,290.0,70.0,8.0,4.5,0.0,25.0,105.0,51.0,0.0,51.0,7.0
444,Mc Donalds,Hazelnut Latte (Small),0,0.0,230.0,60.0,7.0,4.0,0.0,20.0,90.0,36.0,0.0,36.0,7.0
445,Mc Donalds,Hazelnut Latte (Medium),0,0.0,280.0,70.0,8.0,4.5,0.0,25.0,110.0,45.0,0.0,45.0,8.0
446,Mc Donalds,Hazelnut Latte (Large),0,0.0,330.0,80.0,9.0,5.0,0.0,30.0,130.0,53.0,0.0,53.0,9.0
447,Mc Donalds,Vanilla Cappucino (Small),0,0.0,200.0,45.0,5.0,3.0,0.0,15.0,70.0,34.0,0.0,34.0,5.0
448,Mc Donalds,Vanilla Cappucino (Medium),0,0.0,240.0,50.0,6.0,3.5,0.0,20.0,85.0,42.0,0.0,42.0,6.0
449,Mc Donalds,Vanilla Cappucino (Large),0,0.0,290.0,70.0,8.0,4.5,0.0,25.0,105.0,51.0,0.0,51.0,7.0
450,Mc Donalds,Vanilla Latte (Small),0,0.0,230.0,60.0,7.0,4.0,0.0,20.0,90.0,36.0,0.0,36.0,7.0
451,Mc Donalds,Vanilla Latte (Medium),0,0.0,280.0,70.0,8.0,4.5,0.0,25.0,110.0,44.0,0.0,44.0,8.0
452,Mc Donalds,Vanilla Latte (Large),0,0.0,330.0,80.0,9.0,5.0,0.0,30.0,130.0,53.0,0.0,53.0,9.0
453,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Small),0,0.0,100.0,50.0,5.0,3.0,0.0,15.0,105.0,15.0,0.0,7.0,5.0
454,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Medium),0,0.0,120.0,60.0,6.0,3.5,0.0,20.0,130.0,18.0,0.0,9.0,6.0
455,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Large),0,0.0,150.0,70.0,8.0,4.5,0.0,25.0,160.0,22.0,0.0,11.0,8.0
456,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Small),0,0.0,130.0,60.0,7.0,4.0,0.0,20.0,125.0,17.0,0.0,10.0,7.0
457,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Medium),0,0.0,160.0,70.0,8.0,5.0,0.0,25.0,150.0,21.0,0.0,11.0,8.0
458,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Large),0,0.0,180.0,90.0,10.0,6.0,0.0,30.0,180.0,25.0,0.0,13.0,10.0
459,Mc Donalds,Mocha (Small),0,0.0,280.0,100.0,11.0,6.0,0.0,20.0,125.0,40.0,0.0,33.0,6.0
460,Mc Donalds,Mocha (Medium),0,0.0,330.0,110.0,12.0,7.0,0.0,25.0,150.0,48.0,0.0,41.0,7.0
461,Mc Donalds,Mocha (Large),0,0.0,400.0,130.0,14.0,8.0,0.5,30.0,190.0,58.0,0.0,49.0,10.0
462,Mc Donalds,Hot Chocolate (Small),0,0.0,300.0,110.0,12.0,7.0,0.0,25.0,135.0,41.0,0.0,35.0,8.0
463,Mc Donalds,Hot Chocolate (Medium),0,0.0,380.0,130.0,15.0,9.0,0.5,30.0,170.0,53.0,0.0,45.0,10.0
464,Mc Donalds,Hot Chocolate (Large),0,0.0,460.0,160.0,18.0,10.0,0.5,40.0,220.0,63.0,0.0,54.0,13.0
465,Mc Donalds,Iced Latte (Small),0,0.0,80.0,40.0,4.5,2.5,0.0,15.0,65.0,6.0,0.0,6.0,4.0
466,Mc Donalds,Iced Latte (Medium),0,0.0,100.0,50.0,6.0,3.5,0.0,15.0,80.0,8.0,0.0,8.0,6.0
467,Mc Donalds,Iced Latte (Large),0,0.0,140.0,70.0,8.0,4.5,0.0,25.0,105.0,10.0,0.0,10.0,7.0
468,Mc Donalds,Iced Caramel Latte (Small),0,0.0,160.0,25.0,3.0,1.5,0.0,10.0,100.0,29.0,0.0,29.0,3.0
469,Mc Donalds,Iced Caramel Latte (Medium),0,0.0,180.0,40.0,4.5,2.5,0.0,15.0,120.0,31.0,0.0,31.0,4.0
470,Mc Donalds,Iced Caramel Latte (Large),0,0.0,230.0,50.0,6.0,3.5,0.0,15.0,150.0,40.0,0.0,40.0,6.0
471,Mc Donalds,Iced Hazelnut Latte (Small),0,0.0,160.0,25.0,3.0,1.5,0.0,10.0,45.0,31.0,0.0,31.0,3.0
472,Mc Donalds,Iced Hazelnut Latte (Medium),0,0.0,180.0,40.0,4.5,2.5,0.0,15.0,65.0,33.0,0.0,33.0,4.0
473,Mc Donalds,Iced Hazelnut Latte (Large),0,0.0,230.0,50.0,6.0,3.5,0.0,15.0,85.0,41.0,0.0,41.0,6.0
474,Mc Donalds,Iced Vanilla Latte (Small),0,0.0,160.0,25.0,3.0,1.5,0.0,10.0,45.0,31.0,0.0,31.0,3.0
475,Mc Donalds,Iced Vanilla Latte (Medium),0,0.0,190.0,40.0,4.5,2.5,0.0,15.0,70.0,33.0,0.0,33.0,5.0
476,Mc Donalds,Iced Vanilla Latte (Large),0,0.0,230.0,50.0,6.0,3.5,0.0,15.0,85.0,41.0,0.0,41.0,6.0
477,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Small),0,0.0,60.0,30.0,3.0,2.0,0.0,10.0,80.0,12.0,0.0,4.0,3.0
478,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Medium),0,0.0,90.0,40.0,5.0,3.0,0.0,15.0,105.0,14.0,0.0,6.0,5.0
479,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Large),0,0.0,110.0,50.0,6.0,3.5,0.0,15.0,130.0,19.0,0.0,8.0,6.0
480,Mc Donalds,Iced Mocha (Medium),0,0.0,310.0,120.0,13.0,8.0,0.0,25.0,140.0,42.0,0.0,35.0,7.0
481,Mc Donalds,Caramel Mocha (Large),0,0.0,360.0,130.0,14.0,8.0,0.5,35.0,220.0,47.0,0.0,46.0,10.0
482,Mc Donalds,Caramel Mocha (Medium),0,0.0,290.0,100.0,12.0,7.0,0.0,25.0,180.0,39.0,0.0,38.0,8.0
483,Mc Donalds,Caramel Mocha (Small),0,0.0,250.0,90.0,11.0,6.0,0.0,25.0,150.0,33.0,0.0,31.0,7.0
484,Mc Donalds,Iced Caramel Mocha (Large),0,0.0,380.0,140.0,16.0,9.0,0.5,35.0,210.0,48.0,0.0,46.0,10.0
485,Mc Donalds,Iced Caramel Mocha (Medium),0,0.0,300.0,120.0,14.0,8.0,0.0,30.0,160.0,36.0,0.0,33.0,8.0
486,Mc Donalds,Iced Caramel Mocha (Small),0,0.0,240.0,100.0,12.0,7.0,0.0,25.0,130.0,29.0,0.0,26.0,6.0
487,Mc Donalds,Frappe Caramel (Small),McCafe Frappes,0.0,450.0,180.0,20.0,13.0,1.0,55.0,135.0,61.0,0.0,57.0,6.0
488,Mc Donalds,Frappe Caramel (Medium),McCafe Frappes,0.0,550.0,220.0,24.0,15.0,1.0,70.0,160.0,76.0,0.0,71.0,8.0
489,Mc Donalds,Frappe Caramel (Large),McCafe Frappes,0.0,680.0,260.0,29.0,18.0,1.5,85.0,200.0,94.0,0.0,88.0,10.0
490,Mc Donalds,Frappe Mocha (Small),McCafe Frappes,0.0,450.0,180.0,20.0,13.0,1.0,55.0,130.0,62.0,1.0,56.0,7.0
491,Mc Donalds,Frappe Mocha (Medium),McCafe Frappes,0.0,560.0,210.0,24.0,15.0,1.0,65.0,160.0,78.0,1.0,70.0,8.0
492,Mc Donalds,Frappe Mocha (Large),McCafe Frappes,0.0,680.0,250.0,28.0,18.0,1.0,80.0,200.0,96.0,1.0,87.0,10.0
493,Mc Donalds,Strawberry Banana Smoothie (Large),McCafe Smoothies,0.0,330.0,10.0,1.0,0.5,0.0,5.0,55.0,77.0,4.0,70.0,3.0
494,Mc Donalds,Strawberry Banana Smoothie (Medium),McCafe Smoothies,0.0,260.0,5.0,1.0,0.0,0.0,5.0,40.0,60.0,3.0,54.0,2.0
495,Mc Donalds,Strawberry Banana Smoothie (Small),McCafe Smoothies,0.0,210.0,5.0,0.5,0.0,0.0,5.0,35.0,49.0,2.0,44.0,2.0
496,Mc Donalds,Wild Berry Smoothie (Large),McCafe Smoothies,0.0,320.0,10.0,1.0,0.5,0.0,5.0,45.0,75.0,4.0,69.0,3.0
497,Mc Donalds,Wild Berry Smoothie (Medium),McCafe Smoothies,0.0,260.0,5.0,1.0,0.0,0.0,5.0,35.0,60.0,4.0,55.0,3.0
498,Mc Donalds,Wild Berry Smoothie (Small),McCafe Smoothies,0.0,210.0,5.0,0.5,0.0,0.0,5.0,30.0,48.0,3.0,44.0,2.0
